# Force coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 8.000000e-01
# Aref        : 8.000000e-04
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
1             	7.182656e-03	0.000000e+00	1.162771e-03	-7.267320e-07	3.597946e-05	4.489160e-06	3.590601e-03	3.592055e-03	4.489160e-06	-4.489160e-06	6.173651e-04	5.454061e-04
2             	4.201992e-03	0.000000e+00	-1.081678e-02	6.760487e-06	1.311001e-03	2.626245e-06	2.107756e-03	2.094235e-03	2.626245e-06	-2.626245e-06	-4.097388e-03	-6.719391e-03
3             	4.357928e-03	0.000000e+00	3.223330e-02	-2.014581e-05	-3.149644e-03	2.723705e-06	2.158818e-03	2.199110e-03	2.723705e-06	-2.723705e-06	1.296701e-02	1.926629e-02
4             	3.278600e-03	0.000000e+00	-2.043056e-01	1.276910e-04	2.732521e-02	2.049125e-06	1.766991e-03	1.511609e-03	2.049125e-06	-2.049125e-06	-7.482760e-02	-1.294780e-01
5             	4.010907e-03	0.000000e+00	4.539932e-01	-2.837458e-04	-7.598349e-02	2.506817e-06	1.721708e-03	2.289199e-03	2.506817e-06	-2.506817e-06	1.510131e-01	3.029801e-01
6             	1.558690e-03	0.000000e+00	-9.088117e+00	5.680073e-03	1.662350e+00	9.741813e-07	6.459418e-03	-4.900728e-03	9.741813e-07	-9.741813e-07	-2.881708e+00	-6.206409e+00
7             	2.295309e-02	0.000000e+00	-1.937262e+01	1.210789e-02	5.295834e+00	1.434568e-05	2.358443e-02	-6.313438e-04	1.434568e-05	-1.434568e-05	-4.390475e+00	-1.498214e+01
8             	1.927932e-02	0.000000e+00	-1.093784e+00	6.836152e-04	-1.395742e+01	1.204958e-05	1.032328e-02	8.956047e-03	1.204958e-05	-1.204958e-05	-1.450431e+01	1.341053e+01
9             	3.961169e-01	0.000000e+00	3.836670e+03	-2.397919e+00	-1.108010e+03	2.475731e-04	-2.199860e+00	2.595977e+00	2.475731e-04	-2.475731e-04	8.103248e+02	3.026345e+03
10            	4.711065e+00	0.000000e+00	-3.010620e+04	1.881638e+01	8.133121e+03	2.944416e-03	2.117191e+01	-1.646084e+01	2.944416e-03	-2.944416e-03	-6.919979e+03	-2.318622e+04
11            	2.276916e+00	0.000000e+00	2.008318e+05	-1.255199e+02	-5.717090e+04	1.423072e-03	-1.243814e+02	1.266583e+02	1.423072e-03	-1.423072e-03	4.324501e+04	1.575868e+05
12            	-7.372571e+01	0.000000e+00	-1.807492e+06	1.129683e+03	5.014749e+05	-4.607857e-02	1.092820e+03	-1.166546e+03	-4.607857e-02	4.607857e-02	-4.022713e+05	-1.405221e+06
13            	3.336566e+02	0.000000e+00	1.173557e+07	-7.334728e+03	-3.268426e+06	2.085354e-01	-7.167900e+03	7.501557e+03	2.085354e-01	-2.085354e-01	2.599357e+06	9.136209e+06
14            	-4.074867e+07	0.000000e+00	-1.281086e+12	8.006787e+08	3.286504e+11	-2.546792e+04	7.803044e+08	-8.210530e+08	-2.546792e+04	2.546792e+04	-3.118926e+11	-9.691933e+11
15            	7.267688e+07	0.000000e+00	4.081466e+17	-2.550917e+14	-1.122546e+17	4.542305e+04	-2.550916e+14	2.550917e+14	4.542305e+04	-4.542305e+04	9.181872e+16	3.163279e+17
16            	5.379714e+16	0.000000e+00	1.280477e+26	-8.002980e+22	-4.686778e+25	3.362321e+13	-8.002978e+22	8.002983e+22	3.362321e+13	-3.362321e+13	1.715607e+25	1.108916e+26
17            	1.614974e+18	0.000000e+00	-2.587112e+49	1.616945e+46	1.783801e+49	1.009359e+15	1.616945e+46	-1.616945e+46	1.009359e+15	-1.009359e+15	4.902449e+48	-3.077357e+49
