# Force coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 8.000000e-01
# Aref        : 8.000000e-04
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
1             	1.625287e-03	0.000000e+00	6.961718e-05	-4.351073e-08	9.546899e-07	1.015805e-06	8.126002e-04	8.126872e-04	1.015805e-06	-1.015805e-06	3.576328e-05	3.385390e-05
2             	4.865283e-03	0.000000e+00	-5.248488e-04	3.280305e-07	1.512081e-04	3.040802e-06	2.432969e-03	2.432313e-03	3.040802e-06	-3.040802e-06	-1.112163e-04	-4.136325e-04
3             	4.290860e-03	0.000000e+00	-1.654659e-03	1.034162e-06	4.264857e-04	2.681787e-06	2.146464e-03	2.144396e-03	2.681787e-06	-2.681787e-06	-4.008435e-04	-1.253815e-03
4             	3.888256e-03	0.000000e+00	-1.881567e-03	1.175980e-06	4.675081e-04	2.430160e-06	1.945304e-03	1.942952e-03	2.430160e-06	-2.430160e-06	-4.732757e-04	-1.408292e-03
5             	3.759344e-03	0.000000e+00	-1.566236e-03	9.788972e-07	3.561099e-04	2.349590e-06	1.880651e-03	1.878693e-03	2.349590e-06	-2.349590e-06	-4.270079e-04	-1.139228e-03
6             	3.600708e-03	0.000000e+00	-1.247118e-03	7.794486e-07	2.513039e-04	2.250443e-06	1.801133e-03	1.799575e-03	2.250443e-06	-2.250443e-06	-3.722549e-04	-8.748628e-04
7             	3.536176e-03	0.000000e+00	-1.133755e-03	7.085966e-07	2.120289e-04	2.210110e-06	1.768796e-03	1.767379e-03	2.210110e-06	-2.210110e-06	-3.548483e-04	-7.789062e-04
8             	3.449451e-03	0.000000e+00	-1.049383e-03	6.558641e-07	1.817841e-04	2.155907e-06	1.725381e-03	1.724069e-03	2.155907e-06	-2.155907e-06	-3.429072e-04	-7.064753e-04
9             	3.414342e-03	0.000000e+00	-1.032233e-03	6.451459e-07	1.645639e-04	2.133964e-06	1.707816e-03	1.706526e-03	2.133964e-06	-2.133964e-06	-3.515528e-04	-6.806807e-04
10            	3.359797e-03	0.000000e+00	-1.035325e-03	6.470780e-07	1.559115e-04	2.099873e-06	1.680546e-03	1.679251e-03	2.099873e-06	-2.099873e-06	-3.617509e-04	-6.735739e-04
11            	3.340065e-03	0.000000e+00	-1.082135e-03	6.763343e-07	1.586335e-04	2.087541e-06	1.670709e-03	1.669356e-03	2.087541e-06	-2.087541e-06	-3.824339e-04	-6.997009e-04
12            	3.304346e-03	0.000000e+00	-1.109474e-03	6.934212e-07	1.629933e-04	2.065216e-06	1.652866e-03	1.651479e-03	2.065216e-06	-2.065216e-06	-3.917437e-04	-7.177303e-04
13            	3.294160e-03	0.000000e+00	-1.165587e-03	7.284919e-07	1.738545e-04	2.058850e-06	1.647808e-03	1.646351e-03	2.058850e-06	-2.058850e-06	-4.089390e-04	-7.566480e-04
14            	3.269344e-03	0.000000e+00	-1.189034e-03	7.431461e-07	1.821737e-04	2.043340e-06	1.635415e-03	1.633929e-03	2.043340e-06	-2.043340e-06	-4.123432e-04	-7.766906e-04
15            	3.265816e-03	0.000000e+00	-1.250306e-03	7.814413e-07	2.010019e-04	2.041135e-06	1.633689e-03	1.632126e-03	2.041135e-06	-2.041135e-06	-4.241511e-04	-8.261549e-04
16            	3.247782e-03	0.000000e+00	-1.277564e-03	7.984777e-07	2.157070e-04	2.029864e-06	1.624689e-03	1.623092e-03	2.029864e-06	-2.029864e-06	-4.230751e-04	-8.544892e-04
17            	3.248380e-03	0.000000e+00	-1.337170e-03	8.357316e-07	2.386364e-04	2.030237e-06	1.625026e-03	1.623354e-03	2.030237e-06	-2.030237e-06	-4.299489e-04	-9.072216e-04
